"","ID","Journal","Volume","Number","Page.range","Authors","Year","Title","DOI","Abstract","journal_code","abstracts_processed"
"464",464,"International Journal of Management Reviews","14","1","104–122","Akinci, Cinla; Sadler‐Smith, Eugene",2012,"Intuition in Management Research: A Historical Review","10.1111/j.1468-2370.2011.00313.x","In this historical review we chart the progress of intuition research over the past eight decades. We highlight the distinction between intuition research in management and intuition research in base disciplines and related fields, and offer a critical commentary on the ways in which the dynamic between these two historical threads has affected progress in the study of intuition in organizations. We conclude by identifying several promising new directions for intuition research, and offer a number of recommendations to intuition researchers in management which may help in taking this topic forward in ways that do not recapitulate previous errors, diversions or digressions. 
","ijmr","in this historical review we chart the progress of intuition research over the past eight decades we highlight the distinction between intuition research in management and intuition research in base disciplines and related fields and offer a critical commentary on the ways in which the dynamic between these two historical threads has affected progress in the study of intuition in organizations we conclude by identifying several promising new directions for intuition research and offer a number of recommendations to intuition researchers in management which may help in taking this topic forward in ways that do not recapitulate previous errors diversions or digressions"
"465",465,"International Journal of Management Reviews","14","3","238–262","Armstrong, Steven J.; Cools, Eva; Sadler‐Smith, Eugene",2012,"Role of Cognitive Styles in Business and Management: Reviewing 40 Years of Research","10.1111/j.1468-2370.2011.00315.x","In line with increased attention on the application of cognitive approaches to industrial, work and organizational psychology, the last 40 years have witnessed a growing interest in application of the cognitive style construct to the field of business and management. The purpose of this paper is threefold. First, we wish to advance understanding of cognitive styles research by elucidating trends and perspectives related to business and management. Second, we identify gaps in the literature and promising areas of research that can be further developed. This is accomplished by means of a review of papers published between 1969 and 2009. Eight themes emerged from our analysis: (a) vocational and occupational issues; (b) national culture; (c) teamwork and interpersonal relationships; (d) learning; (e) decision making; (f) creativity, innovation and entrepreneurship; (g) sales and marketing; and (h) management information systems, information management and use. Third, we identify valid and reliable methods of assessment of cognitive style for use in business and management settings. Finally we draw a number of conclusions regarding the current state of cognitive styles research and promising directions for future research. 
","ijmr","in line with increased attention on the application of cognitive approaches to industrial work and organizational psychology the last years have witnessed a growing interest in application of the cognitive style construct to the field of business and management the purpose of this paper is threefold first we wish to advance understanding of cognitive styles research by elucidating trends and perspectives related to business and management second we identify gaps in the literature and promising areas of research that can be further developed this is accomplished by means of a review of papers published between and eight themes emerged from our analysis a vocational and occupational issues b national culture c teamwork and interpersonal relationships d learning e decision making f creativity innovation and entrepreneurship g sales and marketing and h management information systems information management and use third we identify valid and reliable methods of assessment of cognitive style for use in business and management settings finally we draw a number of conclusions regarding the current state of cognitive styles research and promising directions for future research"
"466",466,"International Journal of Management Reviews","14","3","305–327","Bititci, Umit; Garengo, Patrizia; Dörfler, Viktor; Nudurupati, Sai",2012,"Performance Measurement: Challenges for Tomorrow","10.1111/j.1468-2370.2011.00318.x","This paper demonstrates that the context within which performance measurement is used is changing. The key questions posed are: Is performance measurement ready for the emerging context? What are the gaps in our knowledge? and Which lines of enquiry do we need to pursue? A literature synthesis conducted by a team of multidisciplinary researchers charts the evolution of the performance-measurement literature and identifies that the literature largely follows the emerging business and global trends. The ensuing discussion introduces the currently emerging and predicted future trends and explores how current knowledge on performance measurement may deal with the emerging context. This results in identification of specific challenges for performance measurement within a holistic systems-based framework. The principle limitation of the paper is that it covers a broad literature base without in-depth analysis of a particular aspect of performance measurement. However, this weakness is also the strength of the paper. What is perhaps most significant is that there is a need for rethinking how we research the field of performance measurement by taking a holistic systems-based approach, recognizing the integrated and concurrent nature of challenges that the practitioners, and consequently the field, face. 
","ijmr","this paper demonstrates that the context within which performance measurement is used is changing the key questions posed are is performance measurement ready for the emerging context what are the gaps in our knowledge and which lines of enquiry do we need to pursue a literature synthesis conducted by a team of multidisciplinary researchers charts the evolution of the performance measurement literature and identifies that the literature largely follows the emerging business and global trends the ensuing discussion introduces the currently emerging and predicted future trends and explores how current knowledge on performance measurement may deal with the emerging context this results in identification of specific challenges for performance measurement within a holistic systems based framework the principle limitation of the paper is that it covers a broad literature base without in depth analysis of a particular aspect of performance measurement however this weakness is also the strength of the paper what is perhaps most significant is that there is a need for rethinking how we research the field of performance measurement by taking a holistic systems based approach recognizing the integrated and concurrent nature of challenges that the practitioners and consequently the field face"
"467",467,"International Journal of Management Reviews","14","4","408–427","Deng, Ping",2012,"The Internationalization of Chinese Firms: A Critical Review and Future Research","10.1111/j.1468-2370.2011.00323.x","The important phenomenon that the internationalization of Chinese firms (ICF) represents has attracted increasing interest from scholars from multiple fields over the past 20 years (1991-2010). Although this proliferation of research has the potential to significantly improve understanding of Chinese multinational enterprises (MNEs), the necessary step of consolidating and integrating extant knowledge is absent. This paper reviews the scholarship on the ICF and offers insights into the specific areas in critical need of further development. By focusing on articles published in major scholarly journals during the period 1991-2010, the authors develop a coherent framework to organize and review conceptual and empirical findings from disciplines as far ranging as management, international business, cross-culture and area studies. Within the reviewed literature, three primary streams of enquiry are identified which focus on the antecedents, processes and outcomes of the ICF. Achievements within each of the three research streams are carefully reviewed using content analysis, whereby a number of important issues are identified which have remained consistently untouched, and recommendations are provided for future research, aimed at developing a more integrated research agenda on the ICF for management and international business scholars. 
","ijmr","the important phenomenon that the internationalization of chinese firms icf represents has attracted increasing interest from scholars from multiple fields over the past years although this proliferation of research has the potential to significantly improve understanding of chinese multinational enterprises mnes the necessary step of consolidating and integrating extant knowledge is absent this paper reviews the scholarship on the icf and offers insights into the specific areas in critical need of further development by focusing on articles published in major scholarly journals during the period the authors develop a coherent framework to organize and review conceptual and empirical findings from disciplines as far ranging as management international business cross culture and area studies within the reviewed literature three primary streams of enquiry are identified which focus on the antecedents processes and outcomes of the icf achievements within each of the three research streams are carefully reviewed using content analysis whereby a number of important issues are identified which have remained consistently untouched and recommendations are provided for future research aimed at developing a more integrated research agenda on the icf for management and international business scholars"
"468",468,"International Journal of Management Reviews","14","3","217–237","Dorotic, Matilda; Bijmolt, Tammo H.A.; Verhoef, Peter C.",2012,"Loyalty Programmes: Current Knowledge and Research Directions*","10.1111/j.1468-2370.2011.00314.x","Loyalty programmes (LPs) have increased in number and popularity, but their effects on customer behaviour remain equivocal, due to a lack of understanding of the drivers of LP effectiveness and insufficient generalizable conclusions across prior studies. This paper synthesizes current knowledge pertaining to LPs, reconciles opposing findings by exploring the conditions that mediate and moderate the effects of LP participation on consumer responses, and charts important avenues for research. Overall, we find that LPs are effective in increasing consumer purchase behaviours over time, but the impact differs across consumer segments and markets. Currently, neither firms nor consumers fully benefit from the opportunities that LPs offer. To that end, we identify aspects which help researchers and practitioners increase their understanding of LP benefits and pitfalls. Through this study, companies that already have LPs will be able to improve their performance, and those that are about to introduce one will better understand the implications of the LP launch. 
","ijmr","loyalty programmes lps have increased in number and popularity but their effects on customer behaviour remain equivocal due to a lack of understanding of the drivers of lp effectiveness and insufficient generalizable conclusions across prior studies this paper synthesizes current knowledge pertaining to lps reconciles opposing findings by exploring the conditions that mediate and moderate the effects of lp participation on consumer responses and charts important avenues for research overall we find that lps are effective in increasing consumer purchase behaviours over time but the impact differs across consumer segments and markets currently neither firms nor consumers fully benefit from the opportunities that lps offer to that end we identify aspects which help researchers and practitioners increase their understanding of lp benefits and pitfalls through this study companies that already have lps will be able to improve their performance and those that are about to introduce one will better understand the implications of the lp launch"
"469",469,"International Journal of Management Reviews","14","1","39–62","Driouchi, Tarik; Bennett, David J.",2012,"Real Options in Management and Organizational Strategy: A Review of Decision-making and Performance Implications","10.1111/j.1468-2370.2011.00304.x","This paper contributes to the debate on the role of real options theory in business strategy and organizational decision-making. It analyses and critiques the decision-making and performance implications of real options within the management theories of the (multinational) firm, reviews and categorizes the organizational, strategic and operational facets of real options management in large business settings. It also presents the views of scholars and practitioners regarding the incorporation and validity of real options in strategy, international management and business processes1. The focus is particularly on the decision-making and performance attributes of the real options logic concerning strategic investments, governance modes and multinational operations management. These attributes are examined from both strategic and operating perspectives of decision-making in organizations, also with an overview of the empirical evidence on real options decision-making and performance. 
","ijmr","this paper contributes to the debate on the role of real options theory in business strategy and organizational decision making it analyses and critiques the decision making and performance implications of real options within the management theories of the multinational firm reviews and categorizes the organizational strategic and operational facets of real options management in large business settings it also presents the views of scholars and practitioners regarding the incorporation and validity of real options in strategy international management and business processes the focus is particularly on the decision making and performance attributes of the real options logic concerning strategic investments governance modes and multinational operations management these attributes are examined from both strategic and operating perspectives of decision making in organizations also with an overview of the empirical evidence on real options decision making and performance"
"470",470,"International Journal of Management Reviews","14","1","63–84","Greer, Charles R.; Lei, David",2012,"Collaborative Innovation with Customers: A Review of the Literature and Suggestions for Future Research","10.1111/j.1468-2370.2011.00310.x","Collaborative innovation with customers or users is increasingly important for the development of new products and services. In this paper we provide a review of the literature, placing emphasis on how firms engage in collaborative innovation with individual and business customers. Our review develops a synthesized conceptual framework from three existing models, and other streams of research, to organize this diverse body of literature. We review studies from several disciplines including innovation, strategy, management, marketing and information technology. Although much of the literature assumes net positive benefits from such collaboration, we also discuss contrary perspectives. We highlight areas in which research is needed for greater understanding of the strategic issues and for managing the collaborative process, and provide suggestions for future studies. 
","ijmr","collaborative innovation with customers or users is increasingly important for the development of new products and services in this paper we provide a review of the literature placing emphasis on how firms engage in collaborative innovation with individual and business customers our review develops a synthesized conceptual framework from three existing models and other streams of research to organize this diverse body of literature we review studies from several disciplines including innovation strategy management marketing and information technology although much of the literature assumes net positive benefits from such collaboration we also discuss contrary perspectives we highlight areas in which research is needed for greater understanding of the strategic issues and for managing the collaborative process and provide suggestions for future studies"
"471",471,"International Journal of Management Reviews","14","4","444–463","Jääskeläinen, Mikko",2012,"Venture Capital Syndication: Synthesis and future directions","10.1111/j.1468-2370.2011.00325.x","This paper reviews and synthesizes the extant literature on venture capital syndication. By considering the questions of how, why and when syndication affects the performance of venture capitalist (VC) firms and their portfolio ventures, a schematic structure of the syndication literature is formed and areas for further research are identified. The results of the review show that, while the venture-level aspects are relatively well understood, the current literature lacks an understanding of how and why syndication affects the performance of VC firms. This suggests that more attention should be directed towards syndication as a component of the overall strategy of VC firms. 
","ijmr","this paper reviews and synthesizes the extant literature on venture capital syndication by considering the questions of how why and when syndication affects the performance of venture capitalist vc firms and their portfolio ventures a schematic structure of the syndication literature is formed and areas for further research are identified the results of the review show that while the venture level aspects are relatively well understood the current literature lacks an understanding of how and why syndication affects the performance of vc firms this suggests that more attention should be directed towards syndication as a component of the overall strategy of vc firms"
"472",472,"International Journal of Management Reviews","14","4","367–390","Keupp, Marcus Matthias; Palmié, Maximilian; Gassmann, Oliver",2012,"The Strategic Management of Innovation: A Systematic Review and Paths for Future Research","10.1111/j.1468-2370.2011.00321.x","Strategic management scholars have long emphasized the importance of innovation for a firm's competitive advantage and performance. However, the current state of knowledge about the strategic management of innovation is characterized by conflicting theoretical predictions, persisting knowledge gaps and theoretical inconsistencies. Adopting a 'systematic' approach to reviewing the literature, this paper combines different quantitative methods - co-word analysis, cluster analysis and frequency analysis - to review 342 articles on the strategic management of innovation published in seven journals from 1992 to 2010. On the basis of these analyses, suggestions are developed for future research which could help to promote future theory development and provide relevant material for policy decisions that managers and executives have to make when they manage innovation. 
","ijmr","strategic management scholars have long emphasized the importance of innovation for a firm competitive advantage and performance however the current state of knowledge about the strategic management of innovation is characterized by conflicting theoretical predictions persisting knowledge gaps and theoretical inconsistencies adopting a ystematic approach to reviewing the literature this paper combines different quantitative methods co word analysis cluster analysis and frequency analysis to review articles on the strategic management of innovation published in seven journals from to on the basis of these analyses suggestions are developed for future research which could help to promote future theory development and provide relevant material for policy decisions that managers and executives have to make when they manage innovation"
"473",473,"International Journal of Management Reviews","14","2","141–158","Lewis, Patricia; Simpson, Ruth",2012,"Kanter Revisited: Gender, Power and (In)Visibility","10.1111/j.1468-2370.2011.00327.x","This paper revisits Kanter's (1977) seminal work Men and Women of the Corporation, rereading her account of numerical advantage and disadvantage through a poststructuralist lens which exposes hidden dimensions of gendered power. This lens is captured in the '(In)visibility Vortex' (Lewis and Simpson, 2010) which highlights struggles and tensions around the norm through processes of preservation and concealment within the norm as well as dynamics of revealing, exposure and disappearance as features of the margins. The study draws on developments in feminist theorizing, specially around visibility, invisibility and power, to facilitate this rereading. In so doing, the author demonstrate that while Kanter retreated from explanations based on the gendering of organizations or from recognition of gendered power, these dynamics can be identified in her text. The authors suggest that rereading classic texts can surface dimensions of organizations that have contemporary significance and can inform future research. 
","ijmr","this paper revisits kanter seminal work men and women of the corporation rereading her account of numerical advantage and disadvantage through a poststructuralist lens which exposes hidden dimensions of gendered power this lens is captured in the in visibility vortex lewis and simpson which highlights struggles and tensions around the norm through processes of preservation and concealment within the norm as well as dynamics of revealing exposure and disappearance as features of the margins the study draws on developments in feminist theorizing specially around visibility invisibility and power to facilitate this rereading in so doing the author demonstrate that while kanter retreated from explanations based on the gendering of organizations or from recognition of gendered power these dynamics can be identified in her text the authors suggest that rereading classic texts can surface dimensions of organizations that have contemporary significance and can inform future research"
"474",474,"International Journal of Management Reviews","14","1","85–103","Li, Feng; Pieńkowski, Dariusz; van Moorsel, Aad; Smith, Chris",2012,"A Holistic Framework for Trust in Online Transactions","10.1111/j.1468-2370.2011.00311.x","This paper systematically reviews previous studies of trust from social, economic and technological perspectives and develops a holistic framework for trust, which can be used to analyse the establishment and maintenance of trust in online transactions, and identify the mechanisms that can be used to increase trust. Trust plays a crucial role in the formation of dependent relationships represented by online transactions, and a holistic treatment of trust is necessary because of the gap that exists between the developments in information systems and our understanding of their social and economic implications, and the impact on the perceived trust of the transacting parties. This review enables us to depict an online transaction through its attributes and context, and systematically map these to identified trust antecedents. The key components and processes of the framework are outlined, and three strands of empirical work are discussed to develop it further. The framework highlights the critical role of institutions in the establishment and maintenance of trust in online transactions, which informs the development of e-commerce and e-business platforms and the underpinning information systems, and facilitates the establishment of mechanisms to induce additional institutions to increase trust in online transactions. 
","ijmr","this paper systematically reviews previous studies of trust from social economic and technological perspectives and develops a holistic framework for trust which can be used to analyse the establishment and maintenance of trust in online transactions and identify the mechanisms that can be used to increase trust trust plays a crucial role in the formation of dependent relationships represented by online transactions and a holistic treatment of trust is necessary because of the gap that exists between the developments in information systems and our understanding of their social and economic implications and the impact on the perceived trust of the transacting parties this review enables us to depict an online transaction through its attributes and context and systematically map these to identified trust antecedents the key components and processes of the framework are outlined and three strands of empirical work are discussed to develop it further the framework highlights the critical role of institutions in the establishment and maintenance of trust in online transactions which informs the development of e commerce and e business platforms and the underpinning information systems and facilitates the establishment of mechanisms to induce additional institutions to increase trust in online transactions"
"475",475,"International Journal of Management Reviews","14","1","1–17","McDonald, Paula",2012,"Workplace Sexual Harassment 30 Years on: A Review of the Literature","10.1111/j.1468-2370.2011.00300.x","Despite its proscription in legal jurisdictions around the world, workplace sexual harassment (SH) continues to be experienced by many women and some men in a variety of organizational settings. The aims of this review article are threefold: first, with a focus on workplace SH as it pertains to management and organizations, to synthesize the accumulated state of knowledge in the field; second, to evaluate this evidence, highlighting competing perspectives; and third, to canvass areas in need of further investigation. Variously ascribed through individual (psychological or legal consciousness) frameworks, sociocultural explanations and organizational perspectives, research consistently demonstrates that, like other forms of sexual violence, individuals who experience workplace SH suffer significant psychological, health- and job-related consequences. Yet they often do not make formal complaints through internal organizational procedures or to outside bodies. Laws, structural reforms and policy initiatives have had some success in raising awareness of the problem and have shaped rules and norms in the employment context. However, there is an imperative to target further workplace actions to effectively prevent and respond to SH. 
","ijmr","despite its proscription in legal jurisdictions around the world workplace sexual harassment sh continues to be experienced by many women and some men in a variety of organizational settings the aims of this review article are threefold first with a focus on workplace sh as it pertains to management and organizations to synthesize the accumulated state of knowledge in the field second to evaluate this evidence highlighting competing perspectives and third to canvass areas in need of further investigation variously ascribed through individual psychological or legal consciousness frameworks sociocultural explanations and organizational perspectives research consistently demonstrates that like other forms of sexual violence individuals who experience workplace sh suffer significant psychological health and job related consequences yet they often do not make formal complaints through internal organizational procedures or to outside bodies laws structural reforms and policy initiatives have had some success in raising awareness of the problem and have shaped rules and norms in the employment context however there is an imperative to target further workplace actions to effectively prevent and respond to sh"
"476",476,"International Journal of Management Reviews","14","4","428–443","Müller‐Seitz, Gordon",2012,"Leadership in Interorganizational Networks: A Literature Review and Suggestions for Future Research","10.1111/j.1468-2370.2011.00324.x","The present review is an investigation of the ways in which interorganizational networks coordinate their activities for the benefit of all parties. In this context 'interorganizational networks' consist of three or more separate, collaborating entities, and the question of their leadership has been well researched in a number of disciplines. Its interest to economic actors is growing. However, the findings of studies that have focused on leadership in such networks are somewhat incoherent. As demonstrated in the present review, this incoherence largely results from the consideration of different forms of network (e.g. hierarchical vs heterarchical), levels of analysis (e.g. organizational vs network), and terms used to describe the phenomena (e.g. governance or orchestration, quite apart from leadership). Against this background, the present review contributes to the body of knowledge on this topic in two main areas. First, the literature is reviewed in order to provide an overview of the key characteristics of forms of network and levels of analysis. Moreover, the view that leadership in such networks influences all members in order to 'make things happen' is suggested. Secondly, future avenues of research are identified in order to stimulate progress in this important area of study. 
","ijmr","the present review is an investigation of the ways in which interorganizational networks coordinate their activities for the benefit of all parties in this context interorganizational networks consist of three or more separate collaborating entities and the question of their leadership has been well researched in a number of disciplines its interest to economic actors is growing however the findings of studies that have focused on leadership in such networks are somewhat incoherent as demonstrated in the present review this incoherence largely results from the consideration of different forms of network e g hierarchical vs heterarchical levels of analysis e g organizational vs network and terms used to describe the phenomena e g governance or orchestration quite apart from leadership against this background the present review contributes to the body of knowledge on this topic in two main areas first the literature is reviewed in order to provide an overview of the key characteristics of forms of network and levels of analysis moreover the view that leadership in such networks influences all members in order to ake things happen is suggested secondly future avenues of research are identified in order to stimulate progress in this important area of study"
"477",477,"International Journal of Management Reviews","14","3","345–362","Munro, Iain",2012,"The Management of Circulations: Biopolitical Variations after Foucault","10.1111/j.1468-2370.2011.00320.x","This paper provides a review of the reception of Foucault's later work on biopolitics within management and organization studies and contrasts this with the reception of these ideas in sister fields of research in the social sciences. In his later work, Foucault developed original conceptions of power, including 'biopolitics', 'the apparatus of security' and 'neo-liberal governmentality', which marked a departure from his conception of disciplinary power. This paper explores these concepts and elaborates the implications of these ideas for management studies. The structure of this argument is divided as follows. The first section outlines Foucault's concept of biopolitics and neo-liberal governmentality, distinguishing these systems of control clearly from the concept of disciplinary power. The second section then undertakes a synthesis and evaluation of the extent to which these ideas have been developed within the field of management and organization studies. The final section provides a discussion of how these concepts have been used within other social sciences, distinguishing between three key approaches to their development in terms of: (a) the concept of governmentality; (b) the concept of immaterial labour; and (c) the concept of biocapital. Based on this analysis, a framework is developed which can serve as a basis for future research into the significance of these new biopolitical systems of control for management studies. 
","ijmr","this paper provides a review of the reception of foucault later work on biopolitics within management and organization studies and contrasts this with the reception of these ideas in sister fields of research in the social sciences in his later work foucault developed original conceptions of power including biopolitics the apparatus of security and neo liberal governmentality which marked a departure from his conception of disciplinary power this paper explores these concepts and elaborates the implications of these ideas for management studies the structure of this argument is divided as follows the first section outlines foucault concept of biopolitics and neo liberal governmentality distinguishing these systems of control clearly from the concept of disciplinary power the second section then undertakes a synthesis and evaluation of the extent to which these ideas have been developed within the field of management and organization studies the final section provides a discussion of how these concepts have been used within other social sciences distinguishing between three key approaches to their development in terms of a the concept of governmentality b the concept of immaterial labour and c the concept of biocapital based on this analysis a framework is developed which can serve as a basis for future research into the significance of these new biopolitical systems of control for management studies"
"478",478,"International Journal of Management Reviews","14","1","18–38","Purkayastha, Saptarshi; Manolova, Tatiana S.; Edelman, Linda F.",2012,"Diversification and Performance in Developed and Emerging Market Contexts: A Review of the Literature","10.1111/j.1468-2370.2011.00302.x","The link between diversification and performance has become an important topic for research in diverse fields such as strategic management, industrial organization and financial management. However, a synthesis of the research done in developed and emerging markets is missing. This paper attempts such a synthesis by comparing and contrasting the past cumulative empirical research evidence on the relationship between diversification and firm performance in the context of developed economies to the more recent work in the emerging economies. The empirical literature has been divided into three broad perspectives, and the paper highlights the considerable diversity in its findings in developed and emerging markets across each of these perspectives. Based on this study, it is proposed that related diversification is preferable in developed economies and should be based on specific resources, whereas unrelated diversification is appropriate in emerging economies and should be based on generic resources. Although agency problems exist in both contexts, it is argued that the type of problem differs in developed and emerging markets. The paper concludes by identifying three directions for future research. First, the relationship between diversification and performance should be examined across each industry separately and not in aggregate. Secondly, future research needs to examine the organizational mechanisms required to make diversification successful. Finally, the relationship needs to be examined under unstable and dynamic situations such as the current global economic downturn. 
","ijmr","the link between diversification and performance has become an important topic for research in diverse fields such as strategic management industrial organization and financial management however a synthesis of the research done in developed and emerging markets is missing this paper attempts such a synthesis by comparing and contrasting the past cumulative empirical research evidence on the relationship between diversification and firm performance in the context of developed economies to the more recent work in the emerging economies the empirical literature has been divided into three broad perspectives and the paper highlights the considerable diversity in its findings in developed and emerging markets across each of these perspectives based on this study it is proposed that related diversification is preferable in developed economies and should be based on specific resources whereas unrelated diversification is appropriate in emerging economies and should be based on generic resources although agency problems exist in both contexts it is argued that the type of problem differs in developed and emerging markets the paper concludes by identifying three directions for future research first the relationship between diversification and performance should be examined across each industry separately and not in aggregate secondly future research needs to examine the organizational mechanisms required to make diversification successful finally the relationship needs to be examined under unstable and dynamic situations such as the current global economic downturn"
"479",479,"International Journal of Management Reviews","14","4","464–488","Ravasi, Davide; Stigliani, Ileana",2012,"Product Design: a Review and Research Agenda for Management Studies","10.1111/j.1468-2370.2012.00330.x","This paper reviews research on product design in the broad domain of business studies. It highlights established and emerging perspectives and lines of inquiry, and organizes them around three core areas, corresponding to different stages of the design process (design activities, design choices, design results). Avenues for further research at the intersection of these bodies of research are identified and discussed, and the authors argue that management scholars possess conceptual and methodological tools suited to enriching research on design and effectively pursuing lines of investigation only partially addressed by other communities, such as the construction and deployment of design capabilities, or the organizational and institutional context of design activities. 
","ijmr","this paper reviews research on product design in the broad domain of business studies it highlights established and emerging perspectives and lines of inquiry and organizes them around three core areas corresponding to different stages of the design process design activities design choices design results avenues for further research at the intersection of these bodies of research are identified and discussed and the authors argue that management scholars possess conceptual and methodological tools suited to enriching research on design and effectively pursuing lines of investigation only partially addressed by other communities such as the construction and deployment of design capabilities or the organizational and institutional context of design activities"
"480",480,"International Journal of Management Reviews","14","2","201–216","Rittenhofer, Iris; Gatrell, Caroline",2012,"Gender Mainstreaming and Employment in the European Union: A Review and Analysis of Theoretical and Policy Literatures","10.1111/j.1468-2370.2012.00333.x","Gender mainstreaming was introduced within the European Union (EU) in the 1990s as a means of addressing the unequal treatment of employed women. Yet its impact on organizational practices in Europe has been limited. This review synthesizes and analyses theoretical and policy literatures on gender mainstreaming within the EU between 1998 and 2011. It highlights ambiguities within gender mainstreaming literatures regarding whether gender mainstreaming is, first and foremost, a policy or a strategy. It further identifies ambiguities regarding how inequality should be articulated: in terms of the sameness or difference between women's and men's concerns, and in the context of whether gender mainstreaming research should be defined as focusing primarily on 'women' or on 'gender'. The paper suggests that such ambiguity of definition within gender mainstreaming literatures compromises the implementation of gender mainstreaming within organizational practices. It further observes the need, within some gender mainstreaming theoretical and policy literatures, to move away from stable definitions of 'male' and 'female' (which identify women's and men's concerns as often in contrast) towards a more situated approach. The paper contributes to future gender mainstreaming research by proposing a more fluid, post-structural and sociocultural interpretation of 'gender'. Drawing upon Judith Butler's research, it argues for the reconceptualizing of gender mainstreaming through a 'Gender as performativity' framework, in which gender is characterized as situational and performed in line with organizational expectations about women's and men's social roles. 
","ijmr","gender mainstreaming was introduced within the european union eu in the s as a means of addressing the unequal treatment of employed women yet its impact on organizational practices in europe has been limited this review synthesizes and analyses theoretical and policy literatures on gender mainstreaming within the eu between and it highlights ambiguities within gender mainstreaming literatures regarding whether gender mainstreaming is first and foremost a policy or a strategy it further identifies ambiguities regarding how inequality should be articulated in terms of the sameness or difference between women and men concerns and in the context of whether gender mainstreaming research should be defined as focusing primarily on women or on gender the paper suggests that such ambiguity of definition within gender mainstreaming literatures compromises the implementation of gender mainstreaming within organizational practices it further observes the need within some gender mainstreaming theoretical and policy literatures to move away from stable definitions of ale and female which identify women and men concerns as often in contrast towards a more situated approach the paper contributes to future gender mainstreaming research by proposing a more fluid post structural and sociocultural interpretation of gender drawing upon judith butler research it argues for the reconceptualizing of gender mainstreaming through a gender as performativity framework in which gender is characterized as situational and performed in line with organizational expectations about women and men social roles"
"481",481,"International Journal of Management Reviews","14","3","280–304","Siebels, Jan‐Folke; Knyphausen‐Aufseß, Dodo zu",2012,"A Review of Theory in Family Business Research: The Implications for Corporate Governance","10.1111/j.1468-2370.2011.00317.x","In recent years, increasing scholarly attention has been directed toward the field of family business research. Based on an exhaustive sample of 235 publications, this article provides a comprehensive review and a critical assessment of the theoretical underpinnings and corporate governance issues in family business research. Three predominant theoretical perspectives, namely principal-agent theory, stewardship theory and the resource-based view of the firm, have emerged and provide empirical evidence that family businesses significantly differ from non-family firms in important dimensions such as agency costs, competitive advantages or corporate governance structure. On their own, none of the aforementioned perspectives succeeds in addressing all complexities associated with family businesses and their corporate governance. Accordingly, joint approaches combining different theoretical frameworks can help to improve understanding of the family business. The article concludes by discussing possible directions for future research that might further contribute to building a comprehensive theory of the family business and its corporate governance. 
","ijmr","in recent years increasing scholarly attention has been directed toward the field of family business research based on an exhaustive sample of publications this article provides a comprehensive review and a critical assessment of the theoretical underpinnings and corporate governance issues in family business research three predominant theoretical perspectives namely principal agent theory stewardship theory and the resource based view of the firm have emerged and provide empirical evidence that family businesses significantly differ from non family firms in important dimensions such as agency costs competitive advantages or corporate governance structure on their own none of the aforementioned perspectives succeeds in addressing all complexities associated with family businesses and their corporate governance accordingly joint approaches combining different theoretical frameworks can help to improve understanding of the family business the article concludes by discussing possible directions for future research that might further contribute to building a comprehensive theory of the family business and its corporate governance"
